Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
"Congo, Rep.",COG,Internet users (per 100 people),IT.NET.USER.P2,0.0263547320580279,0.0322236164306931,0.157249517243982,0.460014186837522,1.07750492958505,1.46342005950851,2.00799007938159,2.75970437370903,4.28750990276481,4.5,5,5.6,6.10669502435836
Costa Rica,CRI,Internet users (per 100 people),IT.NET.USER.P2,5.80025302331829,9.55948213497093,19.8948511346293,20.3336148143541,20.7923067055542,22.07,25.1,28.4,32.29,34.33,36.5,42.12,47.5009145244347
Cote d'Ivoire,CIV,Internet users (per 100 people),IT.NET.USER.P2,0.231461670612799,0.395747702246439,0.497929360753307,0.758669629452205,0.849282414747704,1.03923820514001,1.52490079122527,1.8,1.9,2,2.1,2.2,2.37895802994429
Croatia,HRV,Internet users (per 100 people),IT.NET.USER.P2,6.64488254374396,11.5585731811648,17.76,22.75,30.91,33.14,37.98,41.44,44.24,50.58,56.55,59.64,63
Cuba,CUB,Internet users (per 100 people),IT.NET.USER.P2,0.541182548811058,1.07975172188907,3.77058503769014,5.2412690536929,8.40798475900703,9.73806220781346,11.1596013147617,11.69,12.94,14.33,15.9,23.23,25.6417038674676
Curacao,CUW,Internet users (per 100 people),IT.NET.USER.P2,,,,,,,,,,,,,
Cyprus,CYP,Internet users (per 100 people),IT.NET.USER.P2,15.2553943710137,18.8187590408455,28.32,30.09,33.83,32.81,35.83,40.77,42.31,49.81,52.99,57.68,61
Czech Republic,CZE,Internet users (per 100 people),IT.NET.USER.P2,9.78052788834393,14.6971721171129,23.93,34.3,35.5,35.27,47.93,51.93,62.97,64.43,68.82,72.97,75
Denmark,DNK,Internet users (per 100 people),IT.NET.USER.P2,39.1724308555053,42.9575247201878,64.25,76.26,80.93,82.74,86.65,85.03,85.02,86.84,88.72,90,93
Djibouti,DJI,Internet users (per 100 people),IT.NET.USER.P2,0.194500528399956,0.343526262964202,0.48697170451894,0.625940229399888,0.781317175068661,0.953611449300569,1.27004115919322,1.62,2.26,4,6.5,7,8.26723289204519
